COUNT    | LINE
      60 | 905546
      56 | 416596
      55 | 519512
      55 | 905206
      55 | 905777
      54 | 416405
      53 | 416383
      53 | 519603
      52 | 416331
      51 | 416260
      51 | 416354
      51 | 416975
      51 | 905480
      50 | 416218
      50 | 519513
      48 | 905532
      47 | 416366
      47 | 705881
      46 | 416362
      46 | 416515
      44 | 905203
      44 | 905440
      43 | 416595
      43 | 905280
      43 | 905556
      42 | 519772
      41 | 705856
      40 | 416591
      40 | 905667
      39 | 289347
      39 | 416597
      39 | 416598
      39 | 905614
      38 | 416849
      38 | 416934
      37 | 416514
      37 | 905570
      37 | 905977
      36 | 226381
      36 | 416599
      35 | 289846
      34 | 416214
      34 | 905649
      33 | 289786
      33 | 416861
      32 | 416506
      32 | 416594
      32 | 416987
      30 | 905429
      29 | 289291
      29 | 289757
      29 | 289841
      29 | 905263
      29 | 905340
      28 | 416367
      28 | 905250
      28 | 905595
      27 | 289292
      27 | 416324
      27 | 416360
      27 | 416815
      27 | 647477
      27 | 905369
      27 | 905594
      26 | 289288
      26 | 905366
      25 | 289479
      25 | 289843
      25 | 905618
      25 | 905900
      24 | 416340
      24 | 519316
      24 | 519448
      24 | 905245
      23 | 416390
      23 | 416800
      23 | 905268
      23 | 905585
      23 | 905606
      23 | 905708
      22 | 289842
      22 | 416401
      22 | 416628
      22 | 416955
      22 | 905266
      22 | 905382
      22 | 905879
      22 | 905941
      21 | 519515
      21 | 905292
      21 | 905652
      20 | 226336
      20 | 416945
      20 | 519575
      20 | 519602
      20 | 905370
      20 | 905583
      20 | 905838
      19 | 416345
      19 | 416365
      19 | 905363
      18 | 416601
      18 | 613838
      18 | 905919
      17 | 519224
      17 | 519489
      17 | 647428
      17 | 905486
      16 | 289443
      16 | 289845
      16 | 416868
      16 | 416943
      16 | 416969
      16 | 519309
      16 | 905212
      16 | 905504
      16 | 905657
      16 | 905695
      15 | 289840
      15 | 416907
      15 | 416947
      15 | 905262
      15 | 905645
      15 | 905692
      14 | 289333
      14 | 289851
      14 | 416408
      14 | 416619
      14 | 416623
      14 | 416863
      14 | 416935
      14 | 905293
      14 | 905317
      13 | 289245
      13 | 289386
      13 | 289480
      13 | 289861
      13 | 416864
      13 | 905694
      13 | 905908
      12 | 289344
      12 | 289477
      12 | 289863
      12 | 289897
      12 | 416204
      12 | 416216
      12 | 416351
      12 | 416848
      12 | 647724
      12 | 647847
      12 | 647925
      12 | 905323
      12 | 905362
      11 | 289632
      11 | 289848
      11 | 416205
      11 | 416304
      11 | 416513
      11 | 416971
      11 | 647317
      11 | 705228
      11 | 905205
      11 | 905224
      10 | 416306
      10 | 416866
      10 | 647247
      10 | 705330
      10 | 905267
      10 | 905907
